onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.279	0	1	SparseCorrect	NA	swung	3.1	7.15	5	35.75
18.419	0	1	SparseCorrect	NA	blimp	4.69	5.76	1	5.76
24.559	0	1	SparseIncorrect	NA	mesh	4.27	7.58	6	45.48
30.698	0	1	DenseCorrect	NA	sake	2.62	9.35	28	261.8
42.977	0	1	SparseIncorrect	NA	cloth	4.83	9.32	3	27.96
49.117	0	1	SparseCorrect	NA	throb	2.54	5.73	1	5.73
55.256	0	1	DenseIncorrect	NA	coal	4.65	8.48	35	296.8
61.396	0	1	noise	NA	null	-1	-1	-1	-1
67.536	0	1	DenseCorrect	NA	coke	4.82	8.36	29	242.44
73.675	0	1	SparseCorrect	NA	truth	1.57	10.87	5	54.35
79.815	0	1	SparseCorrect	NA	vault	4.45	9.15	6	54.9
85.955	0	1	DenseCorrect	NA	done	1.96	12.07	30	362.1
92.095	0	1	DenseIncorrect	NA	scene	3.84	10.37	29	300.73
98.234	0	1	DenseCorrect	NA	tan	4.19	9.06	25	226.5
104.374	0	1	DenseCorrect	NA	hug	4.1	8.24	21	173.04
116.653	0	1	DenseCorrect	NA	toe	4.86	8.42	31	261.02
122.793	0	1	DenseCorrect	NA	code	3	11.91	28	333.48
128.932	0	1	noise	NA	null	-1	-1	-1	-1
135.072	0	1	SparseCorrect	NA	stunt	3	7.43	2	14.86
147.351	0	1	noise	NA	null	-1	-1	-1	-1
159.631	0	1	DenseIncorrect	NA	hat	4.86	9.37	34	318.58
171.91	0	1	DenseCorrect	NA	sing	3.89	9.3	22	204.6
178.05	0	1	DenseCorrect	NA	boat	4.93	9.67	32	309.44
184.189	0	1	SparseCorrect	NA	tops	3.59	8.28	5	41.4
190.329	0	1	SparseCorrect	NA	child	4.7	11.08	4	44.32
196.469	0	1	noise	NA	null	-1	-1	-1	-1
202.609	0	1	DenseIncorrect	NA	shine	3.6	8.07	21	169.47
208.748	0	1	noise	NA	null	-1	-1	-1	-1
214.888	0	1	DenseCorrect	NA	pearl	2.96	9.28	21	194.88
221.027	0	1	noise	NA	null	-1	-1	-1	-1
227.166	0	1	DenseCorrect	NA	mass	3.24	10.43	26	271.18
233.306	0	1	SparseCorrect	NA	flaunt	2	5.75	1	5.75
239.446	0	1	SparseCorrect	NA	stink	3.29	7.34	6	44.04
245.586	0	1	noise	NA	null	-1	-1	-1	-1
251.725	0	1	DenseCorrect	NA	cent	4.18	8.75	22	192.5
257.865	0	1	SparseCorrect	NA	gift	4.45	9.37	5	46.85
264.005	0	1	SparseIncorrect	NA	plague	3.21	8.46	5	42.3
270.144	0	1	DenseIncorrect	NA	tic	3.64	6.67	30	200.1
276.284	0	1	DenseCorrect	NA	war	3.48	11.6	29	336.4
282.424	0	1	SparseCorrect	NA	change	2.63	11.96	3	35.88
288.564	0	1	SparseCorrect	NA	clown	4.83	7.92	5	39.6
294.703	0	1	SparseCorrect	NA	step	3.7	10.69	6	64.14
300.843	0	1	noise	NA	null	-1	-1	-1	-1
313.121	0	1	DenseCorrect	NA	moat	4.65	7.73	31	239.63
325.401	0	1	SparseCorrect	NA	skunk	4.77	6.79	5	33.95
331.541	0	1	SparseCorrect	NA	spoil	2.43	7.48	6	44.88
337.68	0	1	noise	NA	null	-1	-1	-1	-1
349.96	0	1	SparseCorrect	NA	cramp	3.96	5.95	6	35.7
356.099	0	1	DenseCorrect	NA	dare	2.24	9.09	26	236.34
368.379	0	1	noise	NA	null	-1	-1	-1	-1
