onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.279	0	1	SparseCorrect	NA	throb	2.54	5.73	1	5.73
18.418	0	1	DenseCorrect	NA	rub	3.93	8.35	23	192.05
24.557	0	1	DenseCorrect	NA	shear	3.17	6.81	26	177.06
36.835	0	1	DenseCorrect	NA	wire	4.64	9.72	22	213.84
42.974	0	1	DenseCorrect	NA	made	2.4	12.51	24	300.24
49.114	0	1	SparseCorrect	NA	spoil	2.43	7.48	6	44.88
55.253	0	1	noise	NA	null	-1	-1	-1	-1
61.392	0	1	DenseCorrect	NA	but	1.68	14.57	35	509.95
67.532	0	1	SparseCorrect	NA	mesh	4.27	7.58	6	45.48
79.81	0	1	DenseIncorrect	NA	hum	4.23	7.96	25	199
92.089	0	1	DenseCorrect	NA	cheek	4.83	8.18	21	171.78
104.367	0	1	SparseCorrect	NA	clown	4.83	7.92	5	39.6
110.507	0	1	noise	NA	null	-1	-1	-1	-1
116.645	0	1	DenseCorrect	NA	toot	3.32	5.55	27	149.85
122.784	0	1	SparseCorrect	NA	step	3.7	10.69	6	64.14
128.924	0	1	DenseIncorrect	NA	toll	3.4	8.93	33	294.69
147.342	0	1	DenseCorrect	NA	gut	4.11	8.22	24	197.28
153.481	0	1	SparseCorrect	NA	swung	3.1	7.15	5	35.75
159.62	0	1	noise	NA	null	-1	-1	-1	-1
165.76	0	1	noise	NA	null	-1	-1	-1	-1
171.899	0	1	DenseCorrect	NA	bake	4.21	7.84	29	227.36
178.038	0	1	noise	NA	null	-1	-1	-1	-1
184.178	0	1	DenseCorrect	NA	take	2.86	12.71	25	317.75
196.456	0	1	SparseIncorrect	NA	blimp	4.69	5.76	1	5.76
202.596	0	1	DenseCorrect	NA	tight	2.22	9.87	30	296.1
208.734	0	1	SparseCorrect	NA	flaunt	2	5.75	1	5.75
214.873	0	1	SparseCorrect	NA	child	4.7	11.08	4	44.32
221.013	0	1	noise	NA	null	-1	-1	-1	-1
227.152	0	1	DenseCorrect	NA	hit	3.96	11.07	33	365.31
233.291	0	1	SparseIncorrect	NA	vault	4.45	9.15	6	54.9
239.431	0	1	SparseCorrect	NA	truth	1.57	10.87	5	54.35
245.57	0	1	DenseCorrect	NA	knight	3.67	9.81	24	235.44
257.849	0	1	DenseIncorrect	NA	kick	4.1	9.9	28	277.2
263.988	0	1	noise	NA	null	-1	-1	-1	-1
276.267	0	1	DenseIncorrect	NA	fan	4.7	10.53	21	221.13
282.406	0	1	DenseCorrect	NA	sin	1.66	9.77	31	302.87
288.545	0	1	SparseCorrect	NA	stunt	3	7.43	2	14.86
294.684	0	1	noise	NA	null	-1	-1	-1	-1
300.823	0	1	SparseCorrect	NA	stink	3.29	7.34	6	44.04
306.962	0	1	SparseCorrect	NA	plague	3.21	8.46	5	42.3
319.241	0	1	SparseCorrect	NA	change	2.63	11.96	3	35.88
325.38	0	1	DenseCorrect	NA	loan	3.66	9.16	33	302.28
331.519	0	1	SparseCorrect	NA	cloth	4.83	9.32	3	27.96
337.659	0	1	SparseCorrect	NA	cramp	3.96	5.95	6	35.7
343.798	0	1	SparseCorrect	NA	tops	3.59	8.28	5	41.4
349.937	0	1	SparseCorrect	NA	gift	4.45	9.37	5	46.85
356.077	0	1	noise	NA	null	-1	-1	-1	-1
362.216	0	1	DenseCorrect	NA	nine	4.46	9.6	21	201.6
368.355	0	1	noise	NA	null	-1	-1	-1	-1
374.495	0	1	SparseCorrect	NA	skunk	4.77	6.79	5	33.95
