onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.279	0	1	SparseCorrect	NA	ranch	4.62	8.2	5	41
18.418	0	1	DenseIncorrect	NA	rye	4.68	7.14	37	264.18
24.557	0	1	noise	NA	null	-1	-1	-1	-1
49.113	0	1	DenseCorrect	NA	men	4.7	11.5	27	310.5
55.253	0	1	DenseIncorrect	NA	chick	4.93	8.06	23	185.38
61.392	0	1	SparseCorrect	NA	fierce	2.39	7.78	6	46.68
67.531	0	1	DenseCorrect	NA	lamb	4.93	8.14	27	219.78
73.67	0	1	DenseCorrect	NA	lace	4.81	8.1	29	234.9
85.949	0	1	SparseCorrect	NA	cross	3.83	10.3	5	51.5
92.088	0	1	noise	NA	null	-1	-1	-1	-1
98.227	0	1	noise	NA	null	-1	-1	-1	-1
104.367	0	1	SparseCorrect	NA	smile	4.35	9.42	5	47.1
110.506	0	1	DenseIncorrect	NA	rod	4.35	9.88	21	207.48
116.645	0	1	DenseCorrect	NA	shell	4.74	10.52	21	220.92
122.784	0	1	SparseCorrect	NA	craft	3.33	8.84	4	35.36
135.062	0	1	noise	NA	null	-1	-1	-1	-1
141.201	0	1	SparseCorrect	NA	from	3.93	14.45	5	72.25
153.48	0	1	DenseIncorrect	NA	dull	2.33	8.44	23	194.12
159.619	0	1	SparseCorrect	NA	stand	3.57	10.79	3	32.37
165.758	0	1	noise	NA	null	-1	-1	-1	-1
171.897	0	1	noise	NA	null	-1	-1	-1	-1
178.037	0	1	DenseIncorrect	NA	curl	4.22	7.12	23	163.76
190.315	0	1	DenseCorrect	NA	lit	3.53	8.59	37	317.83
196.454	0	1	SparseIncorrect	NA	hoof	4.79	6.06	5	30.3
202.594	0	1	DenseCorrect	NA	fate	1.33	9.05	29	262.45
208.733	0	1	SparseCorrect	NA	cost	2.25	11.51	5	57.55
214.872	0	1	SparseIncorrect	NA	squaw	3.88	5.87	2	11.74
227.15	0	1	DenseCorrect	NA	grate	4.79	6.6	21	138.6
233.289	0	1	DenseCorrect	NA	sheet	4.86	9.74	23	224.02
239.428	0	1	SparseCorrect	NA	yeast	4.57	8.84	4	35.36
245.567	0	1	SparseIncorrect	NA	fraud	4.64	8.94	4	35.76
251.707	0	1	DenseCorrect	NA	might	2.21	12.53	28	350.84
257.846	0	1	DenseCorrect	NA	read	3.37	12.58	28	352.24
263.985	0	1	SparseIncorrect	NA	learned	2.18	10.25	4	41
270.125	0	1	DenseCorrect	NA	main	2.33	11.21	31	347.51
276.264	0	1	DenseIncorrect	NA	bell	4.96	10.12	27	273.24
282.403	0	1	SparseCorrect	NA	spark	4.07	8.09	5	40.45
288.542	0	1	DenseIncorrect	NA	beat	3.97	10.41	33	343.53
294.682	0	1	SparseCorrect	NA	huge	3.07	10.55	2	21.1
300.821	0	1	noise	NA	null	-1	-1	-1	-1
306.96	0	1	SparseCorrect	NA	theft	2.67	8.49	4	33.96
313.098	0	1	SparseCorrect	NA	noise	3.32	9.94	4	39.76
319.238	0	1	noise	NA	null	-1	-1	-1	-1
331.516	0	1	DenseIncorrect	NA	tyke	3.88	4.71	25	117.75
343.795	0	1	noise	NA	null	-1	-1	-1	-1
349.934	0	1	noise	NA	null	-1	-1	-1	-1
356.073	0	1	SparseCorrect	NA	weird	2.09	9.69	5	48.45
362.212	0	1	DenseCorrect	NA	pose	3.17	8.38	21	175.98
368.352	0	1	SparseCorrect	NA	proof	2.44	10.27	4	41.08
374.491	0	1	SparseCorrect	NA	stout	3.16	7.57	6	45.42
